# data  : Cu 50K, bare autobk
# xmu: from skey ASCII of cu50k.dat
# using simple minimization
# e0 =  8977.58; pre-edge range =[   -50.0  -200.0]; edge step =  2.281
# k range=[  0.00 25.00]; k weight=  1.00; sills  dk1, dk2  =  0.00  0.00
# bkg r =[  0.00  0.98];   15 knots in spline
# Cu foil at 50K
# # cu50k.dat    : this file is part of the uwxafs 3.0 distribution
# data taken at NSLS beamline X-11A Sept 1992
# by M Newville, B Ravel, and Y Zhang
# foil of 99.999% Cu rolled and annealled to ~12 microns
# sample prepared by M Newville
# From X-11A :
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 619 NSCLRS= 3 EF=     .0
# SRB=   -197.6    -47.3     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
#---------------------------------------------------------------------
#     energy          xmu        
  0.9770794E+04   0.8184668E+00
  0.9776265E+04   0.8158696E+00
  0.9781793E+04   0.8114502E+00
  0.9787379E+04   0.8086008E+00
  0.9792869E+04   0.8089215E+00
  0.9798469E+04   0.8100340E+00
  0.9804075E+04   0.8106096E+00
  0.9809688E+04   0.8106701E+00
  0.9815306E+04   0.8091626E+00
  0.9820932E+04   0.8053567E+00
  0.9826669E+04   0.8020198E+00
  0.9832308E+04   0.7990065E+00
  0.9838059E+04   0.7970656E+00
  0.9843815E+04   0.7965152E+00
  0.9849475E+04   0.7957463E+00
  0.9855245E+04   0.7943364E+00
  0.9861023E+04   0.7934691E+00
  0.9866860E+04   0.7924821E+00
  0.9872652E+04   0.7917663E+00
  0.9878504E+04   0.7921035E+00
  0.9884362E+04   0.7914458E+00
  0.9890228E+04   0.7912880E+00
  0.9896153E+04   0.7926114E+00
  0.9902086E+04   0.7937003E+00
  0.9908026E+04   0.7939026E+00
  0.9913974E+04   0.7933757E+00
  0.9919929E+04   0.7922892E+00
  0.9925944E+04   0.7910488E+00
  0.9931966E+04   0.7899459E+00
  0.9937997E+04   0.7890428E+00
  0.9944034E+04   0.7874899E+00
  0.9950079E+04   0.7853354E+00
  0.9956186E+04   0.7838026E+00
  0.9962300E+04   0.7828265E+00
  0.9968421E+04   0.7826466E+00
  0.9974550E+04   0.7827216E+00
  0.9980741E+04   0.7826125E+00
  0.9986940E+04   0.7805673E+00
  0.9993093E+04   0.7791554E+00
  0.9999361E+04   0.7791430E+00
  0.1000558E+05   0.7777529E+00
  0.1001187E+05   0.7760791E+00
  0.1001811E+05   0.7744370E+00
  0.1002441E+05   0.7733496E+00
  0.1003077E+05   0.7725950E+00
  0.1003709E+05   0.7716114E+00
  0.1004346E+05   0.7704045E+00
  0.1004980E+05   0.7699726E+00
  0.1005619E+05   0.7699360E+00
  0.1006260E+05   0.7711597E+00
  0.1006907E+05   0.7724677E+00
  0.1007549E+05   0.7721226E+00
  0.1008197E+05   0.7714531E+00
  0.1008846E+05   0.7700021E+00
  0.1009496E+05   0.7694351E+00
  0.1010153E+05   0.7686460E+00
  0.1010805E+05   0.7676207E+00
  0.1011463E+05   0.7662962E+00
  0.1012117E+05   0.7650738E+00
  0.1012777E+05   0.7639178E+00
  0.1013449E+05   0.7631303E+00
  0.1014105E+05   0.7626011E+00
  0.1014779E+05   0.7617130E+00
  0.1015437E+05   0.7611355E+00
  0.1016112E+05   0.7612743E+00
  0.1016789E+05   0.7603860E+00
  0.1017455E+05   0.7593421E+00
  0.1018128E+05   0.7580766E+00
  0.1018807E+05   0.7567034E+00
  0.1019487E+05   0.7557977E+00
  0.1020168E+05   0.7551669E+00
  0.1020850E+05   0.7545693E+00
  0.1021539E+05   0.7542645E+00
  0.1022223E+05   0.7542530E+00
  0.1022913E+05   0.7544408E+00
  0.1023610E+05   0.7543716E+00
  0.1024297E+05   0.7539847E+00
  0.1024991E+05   0.7530141E+00
  0.1025685E+05   0.7521842E+00
  0.1026386E+05   0.7520054E+00
  0.1027088E+05   0.7514731E+00
  0.1027791E+05   0.7509333E+00
  0.1028495E+05   0.7504351E+00
  0.1029200E+05   0.7497836E+00
  0.1029905E+05   0.7493320E+00
  0.1030624E+05   0.7487730E+00
  0.1031332E+05   0.7479684E+00
  0.1032041E+05   0.7472460E+00
  0.1032762E+05   0.7460632E+00
  0.1033473E+05   0.7450877E+00
  0.1034196E+05   0.7442896E+00
  0.1034921E+05   0.7435944E+00
  0.1035646E+05   0.7431285E+00
  0.1036361E+05   0.7429473E+00
  0.1037089E+05   0.7422587E+00
  0.1037817E+05   0.7415615E+00
  0.1038553E+05   0.7408599E+00
  0.1039284E+05   0.7401868E+00
  0.1040016E+05   0.7396320E+00
  0.1040754E+05   0.7393869E+00
  0.1041494E+05   0.7393779E+00
  0.1042235E+05   0.7391543E+00
  0.1042977E+05   0.7382604E+00
  0.1043720E+05   0.7374841E+00
  0.1044464E+05   0.7371708E+00
  0.1045215E+05   0.7366000E+00
  0.1045961E+05   0.7360103E+00
  0.1046714E+05   0.7359563E+00
  0.1047469E+05   0.7353541E+00
  0.1048224E+05   0.7350607E+00
  0.1048981E+05   0.7345223E+00
  0.1049744E+05   0.7340349E+00
  0.1050509E+05   0.7335562E+00
  0.1051263E+05   0.7329819E+00
  0.1052030E+05   0.7322651E+00
  0.1052798E+05   0.7315469E+00
  0.1053568E+05   0.7310291E+00
  0.1054338E+05   0.7304040E+00
  0.1055110E+05   0.7299373E+00
  0.1055883E+05   0.7291647E+00
  0.1056663E+05   0.7284815E+00
  0.1057438E+05   0.7278668E+00
  0.1058220E+05   0.7274381E+00
  0.1059004E+05   0.7270733E+00
  0.1059788E+05   0.7266044E+00
  0.1060580E+05   0.7264394E+00
  0.1061361E+05   0.7260420E+00
  0.1062150E+05   0.7254569E+00
  0.1062945E+05   0.7250566E+00
  0.1063736E+05   0.7247190E+00
  0.1064534E+05   0.7244880E+00
  0.1065327E+05   0.7239799E+00
  0.1066127E+05   0.7235761E+00
  0.1066929E+05   0.7230217E+00
  0.1067732E+05   0.7225066E+00
  0.1068536E+05   0.7221273E+00
  0.1069347E+05   0.7217545E+00
  0.1070154E+05   0.7214385E+00
  0.1070968E+05   0.7211237E+00
  0.1071777E+05   0.7208065E+00
  0.1072594E+05   0.7204215E+00
  0.1073412E+05   0.7199990E+00
  0.1074237E+05   0.7196870E+00
  0.1075045E+05   0.7191666E+00
  0.1075873E+05   0.7186729E+00
  0.1076696E+05   0.7180704E+00
  0.1077526E+05   0.7176567E+00
  0.1078345E+05   0.7173517E+00
  0.1079178E+05   0.7168175E+00
  0.1080013E+05   0.7166517E+00
  0.1080842E+05   0.7165506E+00
  0.1081679E+05   0.7163765E+00
  0.1082518E+05   0.7160414E+00
  0.1083357E+05   0.7157396E+00
  0.1084198E+05   0.7152905E+00
  0.1085041E+05   0.7150770E+00
  0.1085884E+05   0.7146674E+00
  0.1086736E+05   0.7145285E+00
  0.1087582E+05   0.7141600E+00
  0.1088430E+05   0.7140431E+00
  0.1089285E+05   0.7134908E+00
  0.1090142E+05   0.7133018E+00
  0.1090994E+05   0.7129129E+00
  0.1091853E+05   0.7126964E+00
  0.1092721E+05   0.7124472E+00
  0.1093577E+05   0.7123467E+00
  0.1094440E+05   0.7120966E+00
  0.1095312E+05   0.7118339E+00
  0.1096179E+05   0.7114850E+00
  0.1097053E+05   0.7112704E+00
  0.1097916E+05   0.7109097E+00
  0.1098793E+05   0.7106525E+00
  0.1099665E+05   0.7103488E+00
  0.1100545E+05   0.7100199E+00
  0.1101427E+05   0.7097566E+00
  0.1102303E+05   0.7095826E+00
  0.1103188E+05   0.7095113E+00
  0.1104074E+05   0.7092731E+00
  0.1104961E+05   0.7091351E+00
  0.1105850E+05   0.7090710E+00
  0.1106740E+05   0.7088248E+00
  0.1107631E+05   0.7088550E+00
  0.1108525E+05   0.7084997E+00
  0.1109426E+05   0.7082862E+00
  0.1110322E+05   0.7086034E+00
  0.1111226E+05   0.7080564E+00
  0.1112125E+05   0.7079079E+00
  0.1113032E+05   0.7078748E+00
  0.1113934E+05   0.7076903E+00
  0.1114851E+05   0.7075421E+00
  0.1115756E+05   0.7073560E+00
  0.1116663E+05   0.7073846E+00
  0.1117578E+05   0.7073064E+00
  0.1118501E+05   0.7071329E+00
  0.1119412E+05   0.7070414E+00
  0.1120331E+05   0.7068240E+00
  0.1121259E+05   0.7069507E+00
  0.1122174E+05   0.7067510E+00
  0.1123098E+05   0.7066564E+00
  0.1124031E+05   0.7066233E+00
  0.1124965E+05   0.7065601E+00
  0.1125887E+05   0.7065818E+00
  0.1126824E+05   0.7066296E+00
  0.1127755E+05   0.7064078E+00
  0.1128696E+05   0.7065783E+00
  0.1129638E+05   0.7065019E+00
  0.1130574E+05   0.7064156E+00
  0.1131519E+05   0.7065353E+00
  0.1132466E+05   0.7064372E+00
  0.1133400E+05   0.7064935E+00
  0.1134350E+05   0.7065004E+00
  0.1135301E+05   0.7066249E+00
  0.1136254E+05   0.7066211E+00
