 name:     yttrium barium copper oxide ( 123 ,  ybco)             Feff  7.023
 formula:  YBa2Cu3O7
 sites:    Y1,Ba1,Cu1,Cu2,O1-4
 refer1:   Sharma, et al, Physica C 174, p.409, (1991)
 refer2:   Cava,  et al,  Physica C 165, p.419, (1990)
 notes:    high-temperature superconductor
 Abs   Z=29 Rmt= 1.003 Rnm= 1.266 K  shell
 Pot 1 Z= 8 Rmt= 0.960 Rnm= 1.125
 Pot 2 Z=56 Rmt= 1.770 Rnm= 1.956
 Pot 3 Z=29 Rmt= 1.003 Rnm= 1.266
 Pot 4 Z=39 Rmt= 1.474 Rnm= 1.805
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.406E+00 kf=1.838E+00 Vint=-1.828E+01 Rs_int= 1.973
 S02  1.000  Temp   30.00  Debye temp  210.00  Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    9054.593     63.415   4.250  1.00238E+00  1.00538E+00 -2.98247E-03
    9056.245     65.067   4.300  9.98742E-01  1.00431E+00 -5.54106E-03
    9057.905     66.726   4.350  9.99081E-01  1.00329E+00 -4.19577E-03
    9059.565     68.385   4.400  1.00372E+00  1.00230E+00  1.42143E-03
    9061.225     70.045   4.450  1.01243E+00  1.00136E+00  1.10517E-02
    9062.952     71.772   4.500  1.02479E+00  1.00056E+00  2.42158E-02
    9064.687     73.508   4.550  1.03882E+00  9.99842E-01  3.89876E-02
    9066.422     75.243   4.600  1.05247E+00  9.99153E-01  5.33665E-02
    9068.157     76.979   4.650  1.06387E+00  9.98527E-01  6.54420E-02
    9069.961     78.783   4.700  1.07191E+00  9.98069E-01  7.39840E-02
    9071.774     80.594   4.750  1.07513E+00  9.97699E-01  7.76114E-02
    9073.586     82.406   4.800  1.07324E+00  9.97360E-01  7.60771E-02
    9075.399     84.218   4.850  1.06668E+00  9.97077E-01  6.98076E-02
    9077.279     86.098   4.900  1.05605E+00  9.96946E-01  5.92842E-02
    9079.166     87.986   4.950  1.04216E+00  9.96891E-01  4.54127E-02
    9081.054     89.874   5.000  1.02584E+00  9.96863E-01  2.90702E-02
    9082.941     91.762   5.050  1.00807E+00  9.96886E-01  1.12148E-02
    9084.898     93.718   5.100  9.89412E-01  9.97067E-01 -7.67697E-03
    9086.863     95.682   5.150  9.71512E-01  9.97319E-01 -2.58763E-02
    9088.828     97.646   5.200  9.55911E-01  9.97595E-01 -4.17840E-02
    9090.793     99.610   5.250  9.44325E-01  9.97915E-01 -5.37020E-02
    9092.825    101.643   5.300  9.38150E-01  9.98386E-01 -6.03334E-02
    9094.865    103.683   5.350  9.38598E-01  9.98921E-01 -6.03878E-02
    9096.905    105.723   5.400  9.45524E-01  9.99474E-01 -5.39785E-02
    9098.945    107.764   5.450  9.57613E-01  1.00006E+00 -4.24428E-02
    9101.052    109.872   5.500  9.73048E-01  1.00077E+00 -2.76959E-02
    9103.167    111.989   5.550  9.88793E-01  1.00152E+00 -1.27052E-02
    9105.282    114.105   5.600  1.00223E+00  1.00228E+00 -5.26891E-05
    9107.397    116.222   5.650  1.01158E+00  1.00306E+00  8.49049E-03
    9109.581    118.407   5.700  1.01640E+00  1.00393E+00  1.24195E-02
    9111.774    120.599   5.750  1.01702E+00  1.00483E+00  1.21366E-02
    9113.966    122.792   5.800  1.01487E+00  1.00572E+00  9.09754E-03
    9116.159    124.985   5.850  1.01162E+00  1.00662E+00  4.97312E-03
    9118.421    127.246   5.900  1.00849E+00  1.00754E+00  9.42394E-04
    9120.691    129.515   5.950  1.00609E+00  1.00845E+00 -2.34440E-03
    9122.961    131.784   6.000  1.00424E+00  1.00937E+00 -5.07865E-03
    9125.231    134.053   6.050  1.00228E+00  1.01026E+00 -7.89905E-03
    9127.568    136.390   6.100  9.99512E-01  1.01112E+00 -1.14836E-02
    9129.913    138.735   6.150  9.96025E-01  1.01196E+00 -1.57478E-02
    9132.258    141.080   6.200  9.92623E-01  1.01279E+00 -1.99096E-02
    9134.603    143.425   6.250  9.90668E-01  1.01358E+00 -2.26092E-02
    9137.017    145.838   6.300  9.91634E-01  1.01430E+00 -2.23438E-02
    9139.440    148.260   6.350  9.96715E-01  1.01497E+00 -1.79846E-02
    9141.862    150.681   6.400  1.00593E+00  1.01562E+00 -9.54536E-03
    9144.285    153.103   6.450  1.01800E+00  1.01624E+00  1.72910E-03
    9146.774    155.592   6.500  1.03089E+00  1.01673E+00  1.39315E-02
    9149.272    158.090   6.550  1.04189E+00  1.01716E+00  2.43116E-02
    9151.769    160.587   6.600  1.04885E+00  1.01757E+00  3.07459E-02
    9154.267    163.085   6.650  1.05074E+00  1.01793E+00  3.22375E-02
    9156.831    165.650   6.700  1.04777E+00  1.01811E+00  2.91248E-02
    9159.404    168.224   6.750  1.04146E+00  1.01823E+00  2.28145E-02
    9161.976    170.798   6.800  1.03396E+00  1.01831E+00  1.53643E-02
    9164.549    173.372   6.850  1.02718E+00  1.01832E+00  8.69667E-03
    9167.242    176.065   6.900  1.02188E+00  1.01800E+00  3.81782E-03
    9169.949    178.772   6.950  1.01837E+00  1.01755E+00  8.08013E-04
    9172.656    181.479   7.000  1.01580E+00  1.01708E+00 -1.25663E-03
    9175.363    184.186   7.050  1.01301E+00  1.01660E+00 -3.52424E-03
    9178.070    186.893   7.100  1.00926E+00  1.01611E+00 -6.74330E-03
    9180.777    189.600   7.150  1.00464E+00  1.01561E+00 -1.08089E-02
    9183.484    192.307   7.200  1.00018E+00  1.01511E+00 -1.47036E-02
    9186.191    195.014   7.250  9.97474E-01  1.01460E+00 -1.68777E-02
    9188.898    197.722   7.300  9.97918E-01  1.01407E+00 -1.59243E-02
    9191.605    200.429   7.350  1.00197E+00  1.01345E+00 -1.13272E-02
    9194.483    203.306   7.400  1.00886E+00  1.01240E+00 -3.50284E-03
    9197.381    206.204   7.450  1.01693E+00  1.01121E+00  5.65837E-03
    9200.279    209.101   7.500  1.02385E+00  1.01000E+00  1.37182E-02
    9203.177    211.999   7.550  1.02734E+00  1.00877E+00  1.84104E-02
    9206.075    214.897   7.600  1.02611E+00  1.00754E+00  1.84350E-02
    9208.973    217.794   7.650  1.02032E+00  1.00630E+00  1.39264E-02
    9211.871    220.692   7.700  1.01149E+00  1.00506E+00  6.39281E-03
    9214.769    223.589   7.750  1.00197E+00  1.00382E+00 -1.84323E-03
    9217.667    226.487   7.800  9.94058E-01  1.00257E+00 -8.48812E-03
    9220.565    229.385   7.850  9.89194E-01  1.00129E+00 -1.20800E-02
    9223.633    232.453   7.900  9.87353E-01  9.99798E-01 -1.24468E-02
    9226.721    235.541   7.950  9.87730E-01  9.98250E-01 -1.05391E-02
    9229.809    238.629   8.000  9.88613E-01  9.96696E-01 -8.10971E-03
    9232.897    241.717   8.050  9.88418E-01  9.95138E-01 -6.75283E-03
    9235.985    244.805   8.100  9.86392E-01  9.93579E-01 -7.23320E-03
    9239.073    247.893   8.150  9.82928E-01  9.92019E-01 -9.16394E-03
    9242.161    250.981   8.200  9.79381E-01  9.90460E-01 -1.11850E-02
    9245.249    254.069   8.250  9.77460E-01  9.88902E-01 -1.15703E-02
    9248.337    257.157   8.300  9.78449E-01  9.87351E-01 -9.01603E-03
    9251.425    260.246   8.350  9.82547E-01  9.85830E-01 -3.33077E-03
    9254.683    263.504   8.400  9.88970E-01  9.84400E-01  4.64219E-03
    9257.962    266.783   8.450  9.95538E-01  9.83016E-01  1.27388E-02
    9261.241    270.061   8.500  9.99997E-01  9.81640E-01  1.87005E-02
    9264.520    273.340   8.550  1.00070E+00  9.80268E-01  2.08381E-02
    9267.799    276.618   8.600  9.97158E-01  9.78899E-01  1.86523E-02
    9271.078    279.897   8.650  9.90261E-01  9.77533E-01  1.30209E-02
    9274.357    283.176   8.700  9.81894E-01  9.76170E-01  5.86397E-03
    9277.636    286.454   8.750  9.74249E-01  9.74814E-01 -5.79050E-04
    9280.915    289.733   8.800  9.69018E-01  9.73471E-01 -4.57464E-03
    9284.194    293.011   8.850  9.66843E-01  9.72198E-01 -5.50743E-03
    9287.643    296.460   8.900  9.67418E-01  9.71262E-01 -3.95793E-03
    9291.112    299.929   8.950  9.68958E-01  9.70444E-01 -1.53102E-03
    9294.581    303.398   9.000  9.69589E-01  9.69644E-01 -5.65623E-05
    9298.050    306.867   9.050  9.68111E-01  9.68851E-01 -7.64015E-04
    9301.519    310.336   9.100  9.64404E-01  9.68064E-01 -3.78101E-03
    9304.988    313.805   9.150  9.59479E-01  9.67280E-01 -8.06480E-03
    9308.457    317.274   9.200  9.55084E-01  9.66501E-01 -1.18127E-02
    9311.926    320.743   9.250  9.52992E-01  9.65728E-01 -1.31878E-02
    9315.395    324.212   9.300  9.54282E-01  9.64968E-01 -1.10740E-02
    9318.864    327.681   9.350  9.58867E-01  9.64271E-01 -5.60351E-03
    9322.503    331.321   9.400  9.65907E-01  9.63924E-01  2.05687E-03
    9326.162    334.980   9.450  9.73041E-01  9.63690E-01  9.70336E-03
    9329.821    338.640   9.500  9.78134E-01  9.63471E-01  1.52188E-02
    9333.480    342.300   9.550  9.79810E-01  9.63259E-01  1.71819E-02
    9337.139    345.959   9.600  9.77813E-01  9.63051E-01  1.53280E-02
    9340.798    349.619   9.650  9.73030E-01  9.62845E-01  1.05781E-02
    9344.457    353.278   9.700  9.67099E-01  9.62642E-01  4.62961E-03
    9348.116    356.938   9.750  9.61758E-01  9.62442E-01 -7.10039E-04
    9351.775    360.598   9.800  9.58224E-01  9.62247E-01 -4.18022E-03
    9355.434    364.257   9.850  9.56819E-01  9.62075E-01 -5.46300E-03
    9359.264    368.087   9.900  9.57081E-01  9.62044E-01 -5.15883E-03
    9363.114    371.937   9.950  9.57777E-01  9.62056E-01 -4.44796E-03
    9366.964    375.787  10.000  9.57738E-01  9.62074E-01 -4.50777E-03
    9370.813    379.637  10.050  9.56396E-01  9.62095E-01 -5.92263E-03
    9374.663    383.487  10.100  9.54012E-01  9.62116E-01 -8.42273E-03
    9378.513    387.336  10.150  9.51564E-01  9.62137E-01 -1.09886E-02
    9382.363    391.186  10.200  9.50343E-01  9.62158E-01 -1.22803E-02
    9386.212    395.036  10.250  9.51392E-01  9.62178E-01 -1.12106E-02
    9390.062    398.886  10.300  9.55049E-01  9.62196E-01 -7.42734E-03
    9393.912    402.736  10.350  9.60719E-01  9.62198E-01 -1.53736E-03
    9397.933    406.756  10.400  9.67157E-01  9.62098E-01  5.25922E-03
    9401.974    410.797  10.450  9.72737E-01  9.61967E-01  1.11958E-02
    9406.015    414.838  10.500  9.76146E-01  9.61833E-01  1.48815E-02
    9410.056    418.878  10.550  9.76734E-01  9.61697E-01  1.56363E-02
    9414.097    422.919  10.600  9.74702E-01  9.61559E-01  1.36686E-02
    9418.138    426.959  10.650  9.70954E-01  9.61420E-01  9.91648E-03
    9422.179    431.000  10.700  9.66695E-01  9.61279E-01  5.63393E-03
    9426.220    435.041  10.750  9.62963E-01  9.61136E-01  1.90076E-03
    9430.261    439.081  10.800  9.60274E-01  9.60986E-01 -7.41200E-04
    9434.302    443.122  10.850  9.58513E-01  9.60805E-01 -2.38544E-03
    9438.513    447.333  10.900  9.56925E-01  9.60391E-01 -3.60872E-03
    9442.744    451.564  10.950  9.55063E-01  9.59913E-01 -5.05306E-03
    9446.975    455.795  11.000  9.52646E-01  9.59428E-01 -7.06899E-03
    9451.206    460.026  11.050  9.49877E-01  9.58939E-01 -9.45034E-03
    9455.437    464.257  11.100  9.47456E-01  9.58449E-01 -1.14688E-02
