# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag         chir_re         chir_re
  8.5596128       0.71931612       0.21675497E-02   0.68159632       0.99733342E-03
  8.5902924       0.65395517       0.24379714E-02   0.63371024       0.21600682E-02
  8.6209720       0.58171799       0.24027250E-02   0.41555298       0.23932415E-02
  8.6516516       0.51648769       0.20229357E-02   0.16731183       0.16643752E-02
  8.6823313       0.47331336       0.13774149E-02  -0.37390470E-01   0.76516845E-03
  8.7130109       0.46160263       0.80479525E-03  -0.20616220       0.53198158E-03
  8.7436905       0.47815762       0.10920643E-02  -0.36530035       0.10062036E-02
  8.7743701       0.50973512       0.17682855E-02  -0.49451379       0.14231399E-02
  8.8050497       0.54211970       0.22602390E-02  -0.52383203       0.10369803E-02
  8.8357293       0.56533752       0.24211113E-02  -0.39284631      -0.10070446E-03
  8.8664090       0.57408411       0.22444700E-02  -0.11546385      -0.12152382E-02
  8.8970886       0.56659591       0.18146579E-02   0.20850380      -0.16049766E-02
  8.9277682       0.54353131       0.12790660E-02   0.44599456      -0.12783344E-02
  8.9584478       0.50715383       0.82100394E-03   0.50702951      -0.79135808E-03
  8.9891274       0.46075894       0.60705634E-03   0.39009642      -0.55700245E-03
  9.0198070       0.40823332       0.60658919E-03   0.17066748      -0.44028518E-03
  9.0504866       0.35364995       0.69194332E-03  -0.50215941E-01  -0.56450068E-04
  9.0811663       0.30085437       0.89390119E-03  -0.19750135       0.64145445E-03
  9.1118459       0.25310706       0.12045887E-02  -0.24391000       0.12040433E-02
  9.1425255       0.21302280       0.15060490E-02  -0.20055484       0.11413473E-02
  9.1732051       0.18314035       0.16784435E-02  -0.96757391E-01   0.45782258E-03
  9.2038847       0.16689180       0.16644601E-02   0.31128621E-01  -0.34698186E-03
  9.2345643       0.16800724       0.15055431E-02   0.13994885      -0.80219899E-03
  9.2652440       0.18685012       0.13703371E-02   0.18300289      -0.91641838E-03
  9.2959236       0.21842298       0.14696130E-02   0.12810588      -0.10685452E-02
  9.3266032       0.25509692       0.17778956E-02  -0.16398664E-01  -0.15021013E-02
  9.3572828       0.28942370       0.20803056E-02  -0.19094710      -0.20177311E-02
  9.3879624       0.31522437       0.22166605E-02  -0.30792940      -0.21988765E-02
  9.4186420       0.32808449       0.21368731E-02  -0.30129029      -0.18852213E-02
  9.4493217       0.32575383       0.18999275E-02  -0.16955538      -0.13449284E-02
  9.4800013       0.30838395       0.16711751E-02   0.20932834E-01  -0.96539774E-03
  9.5106809       0.27848057       0.16464917E-02   0.17690644      -0.83280420E-03
  9.5413605       0.24055926       0.18345943E-02   0.23325366      -0.67510592E-03
  9.5720401       0.20067473       0.20487250E-02   0.18313905      -0.21095154E-03
  9.6027197       0.16619564       0.21296066E-02   0.67780040E-01   0.50705725E-03
  9.6333993       0.14583953       0.20237767E-02  -0.55932768E-01   0.11352807E-02
  9.6640790       0.14752662       0.17736259E-02  -0.14015250       0.13986125E-02
  9.6947586       0.17248261       0.14991265E-02  -0.15186241       0.13542063E-02
  9.7254382       0.21504002       0.13489378E-02  -0.73723727E-01   0.12811372E-02
  9.7561178       0.26821288       0.13664290E-02   0.83740259E-01   0.13461222E-02
  9.7867974       0.32547471       0.14321830E-02   0.26577824       0.14265260E-02
  9.8174770       0.38037815       0.14132948E-02   0.38035600       0.12709120E-02
  9.8481567       0.42666675       0.12544969E-02   0.34396347       0.79983745E-03
  9.8788363       0.45889142       0.96923707E-03   0.14281275       0.21731932E-03
  9.9095159       0.47309798       0.61251781E-03  -0.14112547      -0.16833289E-03
  9.9401955       0.46733816       0.25917607E-03  -0.37116698      -0.20834786E-03
  9.9708751       0.44192484       0.11786586E-03  -0.44142009       0.33566766E-06
