# data from ifeffit
#------------------------
#   energy    f1
  9319.1040       -2.4454244
  9320.1040       -2.4467687
  9321.1040       -2.4453365
  9322.1040       -2.4430773
  9323.1040       -2.4378784
  9324.1040       -2.4320815
  9325.1040       -2.4239462
  9326.1040       -2.4159598
  9327.1040       -2.4064256
  9328.1040       -2.3980330
  9329.1040       -2.3892808
  9330.1040       -2.3826156
  9331.1040       -2.3761998
  9332.1040       -2.3722230
  9333.1040       -2.3687898
  9334.1040       -2.3682273
  9335.1040       -2.3690400
  9336.1040       -2.3739626
  9337.1040       -2.3810296
  9338.1040       -2.3918128
  9339.1040       -2.4029330
  9340.1040       -2.4148967
  9341.1040       -2.4247696
  9342.1040       -2.4338720
  9343.1040       -2.4395969
  9344.1040       -2.4436001
  9345.1040       -2.4439752
  9346.1040       -2.4433369
  9347.1040       -2.4408261
  9348.1040       -2.4392028
  9349.1040       -2.4369309
  9350.1040       -2.4362370
  9351.1040       -2.4353108
  9352.1040       -2.4360594
  9353.1040       -2.4363083
  9354.1040       -2.4373773
  9355.1040       -2.4366844
  9356.1040       -2.4359375
  9357.1040       -2.4332554
  9358.1040       -2.4309611
  9359.1040       -2.4275056
  9360.1040       -2.4249713
  9361.1040       -2.4215195
  9362.1040       -2.4190438
  9363.1040       -2.4156200
  9364.1040       -2.4131116
  9365.1040       -2.4095591
  9366.1040       -2.4067427
  9367.1040       -2.4027223
  9368.1040       -2.3993571
  9369.1040       -2.3948066
  9370.1040       -2.3909935
  9371.1040       -2.3860957
  9372.1040       -2.3819937
  9373.1040       -2.3768596
  9374.1040       -2.3725584
  9375.1040       -2.3672421
  9376.1040       -2.3627208
  9377.1040       -2.3570886
  9378.1040       -2.3521001
  9379.1040       -2.3459140
  9380.1040       -2.3403651
  9381.1040       -2.3337073
  9382.1040       -2.3278267
  9383.1040       -2.3209730
  9384.1040       -2.3150058
  9385.1040       -2.3082113
  9386.1040       -2.3024363
  9387.1040       -2.2958716
  9388.1040       -2.2902083
  9389.1040       -2.2834656
  9390.1040       -2.2772402
  9391.1040       -2.2696812
  9392.1040       -2.2625140
  9393.1040       -2.2539757
  9394.1040       -2.2458526
  9395.1040       -2.2364642
  9396.1040       -2.2276916
  9397.1040       -2.2180151
  9398.1040       -2.2093659
  9399.1040       -2.2001054
  9400.1040       -2.1920024
  9401.1040       -2.1832906
  9402.1040       -2.1756838
  9403.1040       -2.1675317
  9404.1040       -2.1606934
  9405.1040       -2.1537068
  9406.1040       -2.1484935
  9407.1040       -2.1434604
  9408.1040       -2.1403724
  9409.1040       -2.1375538
  9410.1040       -2.1366876
  9411.1040       -2.1360388
  9412.1040       -2.1372047
  9413.1040       -2.1383483
  9414.1040       -2.1409846
  9415.1040       -2.1433158
  9416.1040       -2.1468934
  9417.1040       -2.1499338
  9418.1040       -2.1541328
  9419.1040       -2.1584487
  9420.1040       -2.1675479
  9421.1040       -2.1863753
  9422.1040       -2.1949651
  9423.1040       -2.1980940
  9424.1040       -2.2004225
  9425.1040       -2.2009010
  9426.1040       -2.2012218
  9427.1040       -2.1997924
  9428.1040       -2.1982790
  9429.1040       -2.1951904
  9430.1040       -2.1923022
  9431.1040       -2.1881276
  9432.1040       -2.1843735
  9433.1040       -2.1795563
  9434.1040       -2.1754095
  9435.1040       -2.1704183
  9436.1040       -2.1662043
  9437.1040       -2.1611381
  9438.1040       -2.1566954
  9439.1040       -2.1512423
  9440.1040       -2.1464029
  9441.1040       -2.1407290
  9442.1040       -2.1360354
  9443.1040       -2.1309817
  9444.1040       -2.1272764
  9445.1040       -2.1234833
  9446.1040       -2.1212877
  9447.1040       -2.1192393
  9448.1040       -2.1189014
  9449.1040       -2.1186886
  9450.1040       -2.1200077
  9451.1040       -2.1211368
  9452.1040       -2.1234365
  9453.1040       -2.1251916
