#:RESULT:FerriteDAFS01.0003.q
#--------------------------
#Q     Intensity
  3.031877       135.016373
  3.035442       134.716782
  3.039006       133.910934
  3.042570       134.115128
  3.046134       134.044601
  3.049696       133.911774
  3.053259       133.712921
  3.056821       133.577744
  3.060383       133.067017
  3.063944       133.349167
  3.067504       133.539673
  3.071065       133.395432
  3.074625       132.684418
  3.078184       132.407104
  3.081743       132.584778
  3.085301       132.396408
  3.088859       132.209763
  3.092416       132.712738
  3.095973       132.815735
  3.099529       132.562073
  3.103085       132.502625
  3.106641       132.066681
  3.110195       131.824402
  3.113750       132.028275
  3.117304       131.859756
  3.120858       131.834229
  3.124411       131.554352
  3.127964       131.619705
  3.131516       131.517822
  3.135067       131.086548
  3.138618       131.361740
  3.142169       131.507919
  3.145719       131.038254
  3.149269       130.974503
  3.152818       130.397614
  3.156367       130.719070
  3.159916       130.919571
  3.163463       130.767883
  3.167010       131.107605
  3.170557       131.355209
  3.174103       131.715973
  3.177649       131.507004
  3.181195       131.260925
  3.184740       131.213226
  3.188284       131.028610
  3.191828       130.637863
  3.195371       130.428955
  3.198915       130.198044
  3.202457       130.389938
  3.205999       130.476990
  3.209540       130.886581
  3.213081       130.809952
  3.216622       130.835938
  3.220162       131.222122
  3.223701       131.663193
  3.227240       131.539948
  3.230778       131.089859
  3.234316       131.223190
  3.237854       131.121445
  3.241391       131.274185
  3.244928       132.493179
  3.248463       134.180695
  3.251999       137.051605
  3.255534       142.352615
  3.259069       149.786789
  3.262603       158.146744
  3.266136       167.161591
  3.269669       169.327454
  3.273202       157.812943
  3.276734       143.713043
  3.280266       135.065720
  3.283797       131.825150
  3.287327       130.327545
  3.290857       129.635834
  3.294386       129.548126
  3.297915       128.956970
  3.301444       129.068100
  3.304972       129.107925
  3.308500       128.831772
  3.312027       128.639130
  3.315553       128.529831
  3.319079       128.220612
  3.322605       128.189102
  3.326130       128.568054
  3.329654       128.844162
  3.333178       128.190826
  3.336702       128.294174
  3.340225       127.831757
  3.343747       127.449226
  3.347269       127.170410
  3.350791       127.164413
  3.354311       127.575569
  3.357831       127.727654
  3.361351       127.550850
  3.364871       128.030121
  3.368390       128.339584
  3.371908       127.776779
  3.375426       127.730598
  3.378943       127.848152
  3.382460       127.926193
  3.385976       127.634300
  3.389492       127.512199
  3.393007       127.508003
  3.396522       127.309143
  3.400036       127.127823
  3.403550       127.476860
  3.407063       127.278008
  3.410576       127.132294
  3.414088       127.179932
  3.417599       126.975861
  3.421110       127.028740
  3.424620       127.383186
  3.428130       126.937714
  3.431640       126.996140
  3.435149       126.702888
  3.438657       126.591919
  3.442165       126.459190
  3.445673       126.568062
  3.449180       126.442223
  3.452686       126.734940
  3.456192       126.439651
  3.459697       126.366211
  3.463202       126.171692
  3.466706       126.049370
  3.470210       126.789597
  3.473713       125.961220
  3.477216       126.087883
  3.480717       126.208893
  3.484219       126.809212
  3.487720       126.812019
  3.491220       126.215767
  3.494721       126.301682
  3.498220       126.296173
  3.501719       126.108437
  3.505217       126.083771
  3.508715       126.452026
  3.512213       125.854141
  3.515709       125.708847
  3.519205       125.822891
  3.522701       125.391792
  3.526196       125.746758
  3.529691       125.461853
  3.533185       126.063873
  3.536678       126.236008
  3.540171       126.213699
  3.543664       126.105400
  3.547155       126.164360
  3.550647       126.115044
  3.554137       125.174957
  3.557628       126.002693
  3.561117       126.322510
  3.564607       126.356773
  3.568095       126.722672
  3.571583       126.583199
  3.575071       126.366287
  3.578558       126.602043
  3.582044       127.049492
  3.585531       127.363136
  3.589016       128.145126
  3.592501       128.949112
  3.595985       129.253265
  3.599468       129.504562
  3.602951       131.277893
  3.606434       133.295624
  3.609916       137.005798
  3.613398       142.226196
  3.616878       147.532761
  3.620359       152.572388
  3.623839       153.855194
  3.627318       149.568710
  3.630797       142.590439
  3.634275       135.971024
  3.637752       131.622711
