# ENERGY     XMU  I0   THETA
#-------------------
#  my.1      tmp.xafs  my.8      my.2
        0.1853390E+05     0.4056661E+00     0.4612600E+05     0.1003155E+02
        0.1853665E+05     0.4121595E+00     0.4596100E+05     0.1003004E+02
        0.1853940E+05     0.4102762E+00     0.4586000E+05     0.1002854E+02
        0.1854214E+05     0.4053721E+00     0.4581900E+05     0.1002704E+02
        0.1854489E+05     0.4107835E+00     0.4583800E+05     0.1002554E+02
        0.1854765E+05     0.4094701E+00     0.4535500E+05     0.1002404E+02
        0.1855040E+05     0.4027405E+00     0.4563200E+05     0.1002253E+02
        0.1855315E+05     0.4028773E+00     0.4557000E+05     0.1002103E+02
        0.1855590E+05     0.4119238E+00     0.4520900E+05     0.1001953E+02
        0.1855866E+05     0.4050505E+00     0.4470600E+05     0.1001803E+02
        0.1856141E+05     0.4056012E+00     0.4453300E+05     0.1001652E+02
        0.1856417E+05     0.3995495E+00     0.4457100E+05     0.1001502E+02
        0.1856692E+05     0.4027080E+00     0.4445000E+05     0.1001352E+02
        0.1856968E+05     0.4030181E+00     0.4433600E+05     0.1001202E+02
        0.1857244E+05     0.3976054E+00     0.4270700E+05     0.1001052E+02
        0.1857520E+05     0.4087843E+00     0.4554000E+05     0.1000901E+02
        0.1857796E+05     0.4097151E+00     0.4615500E+05     0.1000751E+02
        0.1858072E+05     0.4069782E+00     0.4616600E+05     0.1000601E+02
        0.1858348E+05     0.4063746E+00     0.4618800E+05     0.1000451E+02
        0.1858624E+05     0.4131568E+00     0.4614200E+05     0.1000301E+02
        0.1858900E+05     0.4100292E+00     0.4608100E+05     0.1000150E+02
        0.1859177E+05     0.4133194E+00     0.4588200E+05     0.1000000E+02
